CurrentAlcoholUse,HowMuchDoYouWeighWithoutShoesInKG,Alcohol_Binary
1.0,53.07,0
2.0,49.9,1
3.0,48.54,1
1.0,90.27,0
1.0,56.7,0
1.0,58.97,0
1.0,54.43,0
1.0,80.29,0
1.0,86.18,0
1.0,65.77,0
1.0,61.24,0
1.0,55.34,0
3.0,52.62,1
1.0,54.43,0
1.0,62.6,0
1.0,53.98,0
1.0,63.5,0
7.0,62.6,1
1.0,61.24,0
1.0,61.24,0
1.0,56.7,0
1.0,49.9,0
1.0,48.99,0
1.0,57.15,0
1.0,56.25,0
3.0,57.15,1
1.0,58.97,0
1.0,68.04,0
1.0,68.04,0
1.0,113.4,0
1.0,81.65,0
1.0,83.92,0
3.0,63.5,1
1.0,94.35,0
2.0,65.77,1
2.0,66.23,1
1.0,92.99,0
2.0,88.45,1
5.0,60.78,1
5.0,65.77,1
1.0,73.48,0
1.0,63.5,0
1.0,70.76,0
1.0,71.22,0
2.0,70.76,1
2.0,88.45,1
1.0,104.33,0
1.0,65.77,0
1.0,66.23,0
1.0,72.58,0
1.0,70.31,0
1.0,72.58,0
3.0,52.62,1
4.0,81.65,1
2.0,49.9,1
1.0,52.16,0
3.0,52.16,1
1.0,111.13,0
1.0,88.0,0
2.0,63.5,1
5.0,107.05,1
2.0,46.27,1
4.0,72.58,1
1.0,113.4,0
1.0,65.77,0
5.0,99.79,1
1.0,67.13,0
1.0,61.24,0
1.0,51.26,0
1.0,47.63,0
2.0,68.49,1
3.0,63.5,1
1.0,84.82,0
1.0,50.8,0
2.0,61.69,1
1.0,56.7,0
1.0,86.18,0
3.0,64.86,1
3.0,63.5,1
2.0,75.75,1
3.0,73.03,1
1.0,52.62,0
3.0,46.27,1
1.0,52.16,0
4.0,63.5,1
2.0,59.88,1
1.0,49.9,0
1.0,79.83,0
1.0,55.79,0
2.0,93.9,1
1.0,82.56,0
1.0,83.92,0
1.0,86.18,0
1.0,56.7,0
1.0,72.58,0
2.0,61.24,1
1.0,63.5,0
1.0,83.01,0
2.0,63.5,1
1.0,54.43,0
3.0,56.7,1
2.0,70.31,1
1.0,49.9,0
2.0,53.52,1
1.0,72.58,0
1.0,56.7,0
1.0,46.72,0
1.0,52.16,0
1.0,77.11,0
1.0,65.77,0
3.0,97.52,1
3.0,70.31,1
2.0,85.28,1
2.0,61.69,1
5.0,70.31,1
4.0,72.58,1
1.0,81.65,0
1.0,139.71,0
3.0,95.26,1
1.0,58.97,0
2.0,110.22,1
3.0,64.41,1
1.0,63.5,0
5.0,72.58,1
6.0,65.77,1
1.0,78.47,0
3.0,67.13,1
2.0,75.75,1
1.0,57.15,0
2.0,78.47,1
3.0,53.52,1
1.0,58.97,0
3.0,68.04,1
2.0,69.4,1
1.0,54.43,0
1.0,96.62,0
1.0,47.63,0
2.0,77.11,1
2.0,121.11,1
3.0,79.38,1
1.0,77.11,0
1.0,72.58,0
7.0,58.97,1
6.0,68.04,1
1.0,64.41,0
6.0,131.09,1
2.0,61.69,1
1.0,74.84,0
4.0,91.63,1
3.0,68.04,1
2.0,98.88,1
1.0,44.45,0
3.0,49.9,1
2.0,73.94,1
1.0,45.36,0
2.0,58.97,1
2.0,49.9,1
3.0,56.7,1
1.0,59.88,0
2.0,76.2,1
3.0,99.79,1
1.0,104.33,0
1.0,86.18,0
4.0,86.18,1
1.0,88.45,0
3.0,117.94,1
1.0,67.59,0
3.0,92.99,1
1.0,56.25,0
1.0,51.26,0
1.0,56.7,0
1.0,58.97,0
1.0,65.32,0
1.0,54.43,0
3.0,56.7,1
1.0,67.13,0
1.0,51.71,0
4.0,49.9,1
4.0,63.5,1
3.0,77.11,1
2.0,68.04,1
1.0,74.84,0
5.0,54.43,1
1.0,74.84,0
3.0,54.89,1
2.0,65.77,1
2.0,122.47,1
5.0,53.98,1
1.0,61.69,0
1.0,74.84,0
2.0,63.05,1
1.0,58.06,0
3.0,55.34,1
2.0,63.5,1
6.0,54.43,1
1.0,53.98,0
3.0,58.97,1
1.0,64.41,0
1.0,43.55,0
1.0,67.59,0
6.0,83.92,1
1.0,66.23,0
1.0,68.04,0
4.0,95.71,1
1.0,94.35,0
2.0,74.84,1
1.0,51.71,0
1.0,56.25,0
1.0,70.31,0
3.0,56.7,1
2.0,107.96,1
2.0,57.61,1
1.0,77.11,0
2.0,61.24,1
1.0,54.43,0
1.0,74.84,0
1.0,108.86,0
5.0,67.13,1
5.0,68.04,1
3.0,53.52,1
2.0,63.5,1
2.0,44.45,1
3.0,56.7,1
2.0,61.24,1
2.0,58.51,1
1.0,74.84,0
1.0,65.77,0
3.0,63.96,1
1.0,88.45,0
3.0,104.33,1
1.0,92.99,0
1.0,106.6,0
2.0,79.38,1
2.0,74.84,1
1.0,95.26,0
3.0,67.13,1
1.0,50.8,0
3.0,56.7,1
1.0,55.34,0
1.0,56.25,0
1.0,68.04,0
3.0,70.76,1
1.0,50.8,0
1.0,71.67,0
1.0,72.58,0
6.0,83.92,1
1.0,54.43,0
1.0,73.48,0
2.0,73.03,1
1.0,120.2,0
1.0,74.84,0
3.0,97.52,1
2.0,63.5,1
2.0,66.68,1
2.0,102.06,1
1.0,77.11,0
2.0,74.84,1
5.0,98.88,1
1.0,71.67,0
2.0,60.33,1
2.0,48.99,1
1.0,81.19,0
1.0,86.18,0
1.0,56.7,0
1.0,41.28,0
1.0,67.13,0
1.0,56.7,0
1.0,104.33,0
1.0,56.7,0
1.0,56.7,0
1.0,61.24,0
2.0,54.43,1
2.0,58.06,1
1.0,52.62,0
1.0,61.24,0
5.0,90.72,1
1.0,104.33,0
1.0,72.58,0
2.0,70.31,1
1.0,113.4,0
4.0,58.97,1
1.0,72.58,0
4.0,78.02,1
2.0,83.46,1
2.0,86.18,1
1.0,61.24,0
3.0,61.69,1
1.0,102.06,0
1.0,83.92,0
1.0,116.58,0
1.0,70.31,0
2.0,56.7,1
2.0,74.84,1
1.0,111.13,0
1.0,54.43,0
4.0,54.43,1
1.0,49.9,0
1.0,49.9,0
2.0,68.04,1
1.0,63.5,0
1.0,72.12,0
1.0,61.24,0
1.0,81.65,0
1.0,63.5,0
1.0,86.18,0
4.0,70.31,1
4.0,80.74,1
2.0,89.81,1
3.0,83.92,1
4.0,117.94,1
1.0,99.79,0
1.0,70.31,0
2.0,50.35,1
3.0,56.7,1
2.0,59.88,1
1.0,68.04,0
3.0,56.7,1
2.0,90.72,1
1.0,96.16,0
1.0,74.84,0
2.0,56.25,1
1.0,63.5,0
3.0,79.38,1
2.0,68.04,1
1.0,86.18,0
2.0,70.31,1
1.0,97.52,0
3.0,74.84,1
3.0,47.17,1
1.0,56.7,0
1.0,54.43,0
2.0,70.31,1
1.0,99.79,0
2.0,60.33,1
2.0,56.7,1
5.0,72.58,1
1.0,68.04,0
3.0,64.41,1
1.0,127.01,0
1.0,68.04,0
1.0,56.7,0
1.0,83.92,0
1.0,71.22,0
3.0,70.31,1
2.0,77.11,1
1.0,96.16,0
1.0,63.05,0
1.0,107.05,0
1.0,72.12,0
1.0,72.58,0
1.0,51.71,0
1.0,118.39,0
1.0,74.84,0
1.0,72.58,0
1.0,48.99,0
5.0,100.7,1
2.0,73.03,1
1.0,71.22,0
1.0,70.31,0
1.0,61.69,0
2.0,81.65,1
2.0,56.7,1
7.0,102.06,1
1.0,77.57,0
1.0,79.38,0
2.0,131.09,1
2.0,80.74,1
1.0,71.22,0
4.0,74.84,1
3.0,68.95,1
1.0,84.82,0
3.0,76.2,1
2.0,59.42,1
5.0,57.15,1
2.0,52.16,1
1.0,72.58,0
1.0,47.63,0
3.0,52.16,1
2.0,63.5,1
1.0,65.77,0
4.0,73.94,1
1.0,66.23,0
1.0,61.69,0
2.0,73.48,1
1.0,44.91,0
2.0,72.58,1
1.0,86.18,0
3.0,65.77,1
5.0,52.16,1
1.0,52.16,0
3.0,61.24,1
1.0,52.16,0
1.0,70.31,0
1.0,53.52,0
1.0,57.15,0
1.0,61.24,0
3.0,48.99,1
2.0,57.61,1
1.0,61.69,0
1.0,68.04,0
1.0,78.93,0
2.0,63.5,1
1.0,76.66,0
2.0,74.39,1
2.0,88.45,1
1.0,78.47,0
3.0,95.71,1
3.0,68.04,1
1.0,88.91,0
1.0,58.97,0
1.0,61.24,0
1.0,45.36,0
1.0,54.43,0
1.0,46.27,0
1.0,61.24,0
2.0,65.77,1
1.0,65.32,0
1.0,102.06,0
4.0,63.5,1
1.0,82.1,0
1.0,75.75,0
1.0,97.52,0
1.0,63.5,0
4.0,95.26,1
1.0,68.04,0
1.0,72.58,0
1.0,49.9,0
1.0,61.24,0
1.0,53.52,0
2.0,74.84,1
2.0,57.15,1
1.0,50.8,0
1.0,53.07,0
1.0,47.63,0
1.0,72.58,0
1.0,81.65,0
1.0,52.16,0
1.0,77.11,0
1.0,49.44,0
1.0,59.42,0
1.0,58.97,0
1.0,90.72,0
1.0,109.77,0
1.0,58.97,0
1.0,69.85,0
1.0,95.71,0
1.0,70.31,0
5.0,70.76,1
1.0,66.68,0
1.0,50.8,0
1.0,65.32,0
3.0,61.24,1
1.0,65.77,0
3.0,44.45,1
4.0,55.79,1
2.0,52.16,1
1.0,56.7,0
1.0,57.15,0
2.0,53.98,1
2.0,97.52,1
1.0,78.02,0
1.0,136.08,0
1.0,77.11,0
1.0,72.58,0
2.0,58.97,1
5.0,82.56,1
6.0,54.43,1
2.0,64.86,1
1.0,108.86,0
1.0,52.16,0
2.0,61.24,1
1.0,52.62,0
2.0,64.41,1
3.0,49.9,1
5.0,46.72,1
1.0,45.36,0
1.0,77.57,0
1.0,47.63,0
1.0,47.63,0
3.0,75.75,1
1.0,49.9,0
2.0,52.62,1
1.0,74.84,0
3.0,70.31,1
3.0,73.48,1
1.0,116.58,0
2.0,106.6,1
3.0,72.58,1
2.0,102.51,1
4.0,99.79,1
1.0,65.77,0
1.0,82.1,0
3.0,77.11,1
1.0,70.31,0
1.0,83.92,0
1.0,63.5,0
1.0,57.61,0
1.0,89.36,0
2.0,55.34,1
1.0,63.5,0
1.0,88.45,0
3.0,56.7,1
2.0,65.77,1
2.0,78.93,1
2.0,63.5,1
3.0,81.65,1
3.0,63.5,1
2.0,67.13,1
2.0,64.86,1
1.0,81.65,0
1.0,90.72,0
1.0,81.65,0
3.0,92.08,1
1.0,49.9,0
1.0,83.92,0
1.0,52.62,0
3.0,48.99,1
1.0,65.77,0
3.0,61.24,1
1.0,49.9,0
5.0,63.5,1
1.0,74.84,0
1.0,51.26,0
1.0,61.24,0
1.0,63.5,0
1.0,73.94,0
2.0,51.71,1
1.0,72.12,0
1.0,61.24,0
1.0,63.05,0
3.0,60.78,1
2.0,58.97,1
2.0,58.51,1
1.0,47.63,0
1.0,73.94,0
2.0,108.86,1
1.0,61.69,0
5.0,63.05,1
3.0,52.16,1
1.0,64.41,0
1.0,68.04,0
1.0,54.43,0
1.0,85.28,0
2.0,70.76,1
2.0,86.18,1
2.0,80.29,1
1.0,74.39,0
2.0,76.2,1
1.0,66.68,0
1.0,52.16,0
3.0,77.57,1
1.0,74.84,0
2.0,73.94,1
1.0,66.23,0
1.0,91.17,0
1.0,83.92,0
1.0,87.09,0
3.0,70.31,1
1.0,70.31,0
1.0,68.04,0
4.0,102.06,1
2.0,104.78,1
1.0,63.5,0
7.0,63.5,1
1.0,54.43,0
3.0,52.16,1
4.0,81.19,1
1.0,48.99,0
1.0,52.62,0
1.0,63.5,0
6.0,56.7,1
4.0,78.47,1
1.0,86.18,0
2.0,108.86,1
1.0,99.34,0
2.0,72.58,1
3.0,79.38,1
5.0,68.04,1
3.0,72.58,1
2.0,73.03,1
1.0,54.43,0
1.0,54.43,0
3.0,80.74,1
2.0,56.7,1
1.0,60.33,0
1.0,48.08,0
1.0,54.89,0
1.0,63.05,0
1.0,81.19,0
2.0,47.63,1
1.0,56.7,0
1.0,77.57,0
3.0,65.77,1
1.0,53.98,0
1.0,65.77,0
2.0,61.69,1
1.0,83.46,0
1.0,68.04,0
2.0,46.27,1
2.0,57.61,1
1.0,76.2,0
3.0,49.9,1
1.0,72.58,0
1.0,54.43,0
2.0,54.43,1
1.0,77.11,0
1.0,51.71,0
1.0,58.97,0
1.0,86.64,0
3.0,47.63,1
2.0,68.04,1
1.0,64.86,0
2.0,49.9,1
1.0,69.85,0
2.0,56.7,1
2.0,54.43,1
3.0,49.9,1
3.0,74.84,1
1.0,72.58,0
1.0,93.9,0
1.0,67.13,0
2.0,64.41,1
2.0,95.26,1
1.0,63.05,0
3.0,72.58,1
1.0,104.78,0
2.0,51.71,1
1.0,79.38,0
1.0,61.69,0
3.0,120.2,1
2.0,65.77,1
1.0,90.72,0
1.0,58.51,0
3.0,50.35,1
1.0,75.75,0
1.0,56.25,0
3.0,70.31,1
1.0,81.65,0
1.0,74.84,0
1.0,71.22,0
1.0,73.48,0
1.0,81.65,0
1.0,63.5,0
2.0,54.43,1
1.0,49.9,0
2.0,46.27,1
1.0,68.04,0
1.0,48.08,0
2.0,70.76,1
2.0,88.45,1
2.0,56.7,1
2.0,64.41,1
3.0,77.11,1
1.0,64.86,0
1.0,54.43,0
1.0,99.34,0
1.0,66.68,0
1.0,77.11,0
1.0,54.43,0
1.0,45.36,0
4.0,64.86,1
1.0,47.63,0
1.0,70.76,0
2.0,45.36,1
2.0,58.97,1
1.0,50.8,0
1.0,62.14,0
2.0,65.77,1
1.0,49.44,0
2.0,54.43,1
1.0,58.97,0
1.0,58.97,0
1.0,88.45,0
3.0,72.58,1
2.0,68.04,1
4.0,79.38,1
2.0,108.86,1
3.0,86.18,1
1.0,64.86,0
1.0,97.52,0
1.0,101.61,0
5.0,108.86,1
1.0,68.04,0
4.0,74.84,1
2.0,56.7,1
1.0,61.24,0
2.0,63.96,1
2.0,47.63,1
1.0,64.41,0
2.0,95.26,1
3.0,49.44,1
4.0,61.24,1
2.0,79.38,1
1.0,61.24,0
1.0,68.04,0
1.0,57.61,0
1.0,62.14,0
2.0,77.11,1
1.0,49.9,0
3.0,45.36,1
2.0,66.68,1
1.0,68.04,0
1.0,76.2,0
2.0,47.63,1
1.0,54.43,0
1.0,45.81,0
1.0,57.61,0
1.0,54.43,0
1.0,56.25,0
1.0,63.5,0
1.0,104.33,0
1.0,62.6,0
1.0,58.97,0
1.0,63.5,0
1.0,48.08,0
1.0,61.69,0
1.0,65.77,0
1.0,72.58,0
1.0,49.9,0
1.0,61.24,0
2.0,86.18,1
3.0,71.67,1
2.0,58.97,1
1.0,97.52,0
1.0,63.5,0
1.0,65.77,0
2.0,60.33,1
2.0,56.7,1
1.0,74.84,0
1.0,61.24,0
1.0,67.13,0
1.0,68.04,0
1.0,66.68,0
2.0,71.67,1
2.0,66.68,1
1.0,66.68,0
1.0,68.04,0
1.0,74.84,0
1.0,63.5,0
2.0,70.31,1
1.0,59.88,0
1.0,57.61,0
1.0,68.04,0
2.0,63.5,1
1.0,45.36,0
3.0,72.58,1
2.0,56.7,1
4.0,90.27,1
1.0,65.77,0
1.0,65.32,0
1.0,68.04,0
1.0,88.45,0
1.0,68.04,0
1.0,107.96,0
1.0,95.26,0
5.0,72.58,1
1.0,58.97,0
1.0,86.18,0
1.0,54.43,0
1.0,72.58,0
1.0,64.41,0
1.0,68.04,0
1.0,83.92,0
5.0,68.04,1
3.0,80.29,1
1.0,86.64,0
1.0,61.69,0
1.0,63.5,0
2.0,66.68,1
1.0,47.17,0
1.0,73.48,0
1.0,92.08,0
1.0,65.77,0
1.0,61.24,0
5.0,101.15,1
2.0,65.77,1
1.0,67.13,0
1.0,83.46,0
5.0,61.24,1
1.0,77.11,0
1.0,45.36,0
2.0,54.43,1
1.0,80.29,0
2.0,68.95,1
1.0,61.24,0
1.0,101.61,0
1.0,74.84,0
2.0,63.5,1
1.0,81.19,0
2.0,68.04,1
1.0,97.52,0
1.0,68.49,0
1.0,57.61,0
1.0,88.45,0
1.0,78.02,0
1.0,60.78,0
2.0,63.5,1
4.0,65.77,1
1.0,58.97,0
1.0,66.23,0
1.0,57.15,0
1.0,58.97,0
1.0,69.85,0
2.0,61.24,1
2.0,52.16,1
2.0,63.5,1
1.0,57.15,0
1.0,81.65,0
3.0,54.89,1
2.0,73.03,1
2.0,49.9,1
1.0,58.06,0
1.0,81.65,0
1.0,70.31,0
2.0,56.25,1
1.0,49.9,0
1.0,54.43,0
1.0,55.79,0
2.0,50.8,1
1.0,71.22,0
3.0,61.24,1
3.0,64.86,1
1.0,108.86,0
2.0,63.5,1
1.0,55.34,0
1.0,59.88,0
6.0,101.15,1
1.0,63.5,0
3.0,73.03,1
1.0,70.31,0
1.0,63.96,0
2.0,55.79,1
1.0,70.31,0
1.0,68.04,0
1.0,68.95,0
1.0,48.99,0
1.0,57.61,0
1.0,51.26,0
1.0,63.5,0
1.0,78.93,0
1.0,65.77,0
1.0,45.36,0
1.0,47.63,0
1.0,72.58,0
1.0,44.45,0
1.0,56.7,0
1.0,54.43,0
1.0,48.54,0
2.0,61.24,1
1.0,56.7,0
1.0,56.25,0
1.0,55.79,0
1.0,60.78,0
4.0,54.89,1
1.0,61.69,0
1.0,65.77,0
4.0,45.81,1
1.0,60.78,0
1.0,67.13,0
1.0,58.97,0
1.0,56.25,0
1.0,78.02,0
1.0,63.5,0
1.0,54.43,0
1.0,70.31,0
2.0,66.68,1
2.0,70.31,1
4.0,54.43,1
1.0,63.96,0
2.0,60.33,1
6.0,72.58,1
1.0,49.9,0
5.0,62.6,1
2.0,58.97,1
6.0,161.94,1
1.0,66.68,0
5.0,68.04,1
1.0,63.5,0
2.0,99.79,1
3.0,73.48,1
2.0,81.65,1
7.0,58.97,1
6.0,138.35,1
1.0,47.63,0
4.0,65.77,1
1.0,70.31,0
1.0,52.16,0
3.0,66.68,1
1.0,48.08,0
2.0,82.56,1
5.0,86.18,1
3.0,58.97,1
3.0,50.8,1
3.0,70.31,1
1.0,53.98,0
4.0,58.06,1
2.0,48.99,1
4.0,63.5,1
5.0,69.4,1
1.0,73.48,0
2.0,63.5,1
1.0,81.65,0
1.0,50.8,0
1.0,65.32,0
1.0,81.65,0
3.0,70.31,1
3.0,56.7,1
2.0,67.13,1
1.0,58.97,0
1.0,66.68,0
3.0,51.26,1
1.0,68.04,0
1.0,57.15,0
1.0,50.8,0
1.0,105.69,0
2.0,70.76,1
2.0,76.66,1
5.0,77.11,1
1.0,50.35,0
1.0,62.14,0
1.0,58.97,0
1.0,63.5,0
1.0,53.52,0
1.0,54.43,0
1.0,60.78,0
2.0,58.97,1
3.0,73.48,1
1.0,58.97,0
1.0,68.04,0
1.0,69.4,0
1.0,61.24,0
4.0,59.88,1
1.0,70.31,0
1.0,56.7,0
1.0,47.17,0
1.0,52.16,0
1.0,46.72,0
3.0,56.7,1
1.0,53.52,0
1.0,90.72,0
1.0,73.48,0
1.0,45.36,0
1.0,48.54,0
3.0,65.77,1
5.0,64.86,1
2.0,58.97,1
1.0,48.99,0
4.0,73.94,1
2.0,57.15,1
1.0,82.56,0
5.0,59.42,1
4.0,83.92,1
1.0,95.26,0
1.0,52.16,0
1.0,49.9,0
1.0,48.99,0
1.0,83.01,0
1.0,83.92,0
1.0,63.5,0
1.0,48.99,0
1.0,52.16,0
4.0,53.07,1
1.0,49.9,0
1.0,67.13,0
1.0,68.04,0
1.0,58.97,0
1.0,48.99,0
1.0,49.9,0
1.0,79.38,0
1.0,92.08,0
1.0,55.79,0
1.0,72.58,0
1.0,72.58,0
1.0,49.9,0
1.0,113.4,0
1.0,68.04,0
1.0,81.65,0
1.0,61.69,0
2.0,71.22,1
1.0,95.71,0
1.0,77.11,0
1.0,63.5,0
1.0,45.36,0
3.0,89.81,1
1.0,58.97,0
1.0,66.23,0
1.0,79.38,0
1.0,92.99,0
1.0,63.5,0
1.0,48.54,0
1.0,65.77,0
2.0,48.54,1
1.0,56.7,0
3.0,76.66,1
1.0,65.77,0
1.0,52.16,0
2.0,65.77,1
4.0,63.5,1
2.0,52.16,1
1.0,72.58,0
1.0,77.11,0
4.0,67.13,1
1.0,72.58,0
1.0,49.44,0
2.0,61.24,1
1.0,91.63,0
1.0,91.63,0
1.0,54.43,0
5.0,61.24,1
1.0,81.65,0
1.0,63.5,0
1.0,70.76,0
1.0,86.18,0
1.0,104.33,0
1.0,53.52,0
3.0,65.32,1
2.0,71.67,1
1.0,51.26,0
2.0,106.6,1
3.0,78.93,1
1.0,64.86,0
1.0,53.52,0
1.0,53.98,0
1.0,63.5,0
1.0,61.24,0
1.0,53.52,0
1.0,52.16,0
5.0,65.77,1
5.0,60.33,1
2.0,86.18,1
1.0,83.92,0
2.0,47.17,1
2.0,47.63,1
4.0,127.01,1
2.0,49.44,1
3.0,99.79,1
1.0,94.35,0
2.0,57.61,1
2.0,48.08,1
1.0,47.17,0
1.0,63.5,0
1.0,62.14,0
2.0,45.36,1
1.0,65.77,0
1.0,75.75,0
1.0,56.25,0
4.0,71.67,1
2.0,63.5,1
7.0,65.77,1
5.0,73.94,1
1.0,84.82,0
3.0,61.24,1
2.0,58.06,1
1.0,99.79,0
1.0,74.84,0
1.0,58.97,0
2.0,77.11,1
1.0,52.62,0
1.0,51.71,0
1.0,70.31,0
1.0,58.97,0
1.0,61.24,0
3.0,58.97,1
3.0,68.04,1
1.0,95.26,0
1.0,52.16,0
4.0,52.16,1
2.0,79.38,1
1.0,68.95,0
4.0,61.24,1
1.0,65.77,0
1.0,50.8,0
1.0,51.26,0
1.0,73.03,0
2.0,58.97,1
1.0,78.02,0
4.0,48.99,1
1.0,45.36,0
2.0,65.77,1
1.0,66.68,0
1.0,113.85,0
1.0,68.04,0
1.0,58.97,0
1.0,49.9,0
2.0,72.58,1
1.0,99.79,0
1.0,60.33,0
4.0,80.74,1
2.0,64.41,1
2.0,100.25,1
1.0,83.01,0
1.0,58.97,0
2.0,63.05,1
2.0,75.75,1
2.0,61.24,1
4.0,63.5,1
1.0,58.97,0
3.0,89.81,1
2.0,114.76,1
2.0,88.45,1
3.0,47.63,1
2.0,83.92,1
2.0,47.17,1
1.0,83.92,0
2.0,77.11,1
1.0,67.13,0
1.0,54.43,0
5.0,77.11,1
1.0,61.24,0
1.0,49.9,0
1.0,52.62,0
1.0,65.77,0
1.0,56.7,0
3.0,59.88,1
3.0,74.84,1
2.0,61.24,1
4.0,66.23,1
4.0,70.31,1
1.0,77.57,0
1.0,42.18,0
3.0,89.81,1
4.0,99.79,1
4.0,57.15,1
1.0,58.97,0
1.0,56.7,0
4.0,72.58,1
1.0,68.04,0
2.0,99.79,1
1.0,57.61,0
1.0,52.16,0
2.0,65.77,1
2.0,59.42,1
1.0,39.01,0
1.0,64.86,0
1.0,47.63,0
1.0,42.64,0
1.0,66.68,0
2.0,55.79,1
1.0,61.24,0
1.0,63.05,0
4.0,64.86,1
1.0,58.51,0
3.0,117.94,1
1.0,66.23,0
1.0,88.45,0
1.0,63.5,0
2.0,56.7,1
5.0,54.43,1
1.0,70.76,0
2.0,54.43,1
2.0,95.26,1
2.0,63.5,1
1.0,47.17,0
1.0,51.26,0
2.0,75.3,1
2.0,56.25,1
3.0,56.7,1
2.0,49.9,1
5.0,61.69,1
2.0,53.07,1
1.0,54.43,0
3.0,54.43,1
1.0,90.72,0
1.0,68.04,0
1.0,69.4,0
2.0,61.24,1
1.0,57.61,0
1.0,67.13,0
1.0,61.24,0
1.0,65.77,0
1.0,54.43,0
1.0,106.14,0
1.0,54.43,0
1.0,61.24,0
2.0,63.5,1
1.0,58.97,0
2.0,63.5,1
3.0,61.24,1
2.0,67.13,1
1.0,48.99,0
1.0,74.84,0
2.0,70.31,1
6.0,48.54,1
1.0,81.65,0
2.0,79.38,1
1.0,54.43,0
1.0,49.9,0
1.0,97.52,0
1.0,47.63,0
1.0,65.77,0
1.0,54.43,0
5.0,47.63,1
2.0,65.32,1
3.0,61.24,1
1.0,60.33,0
1.0,56.7,0
1.0,61.24,0
1.0,61.24,0
4.0,64.86,1
1.0,64.41,0
2.0,58.97,1
1.0,89.36,0
1.0,86.18,0
3.0,108.86,1
1.0,74.39,0
2.0,108.86,1
1.0,59.42,0
1.0,69.4,0
1.0,101.15,0
1.0,81.65,0
2.0,61.24,1
3.0,63.5,1
1.0,58.97,0
1.0,72.58,0
2.0,57.15,1
1.0,95.26,0
2.0,122.47,1
1.0,62.6,0
2.0,61.24,1
2.0,54.89,1
1.0,58.97,0
1.0,80.29,0
1.0,81.65,0
2.0,92.08,1
1.0,47.63,0
1.0,54.43,0
1.0,68.95,0
1.0,68.95,0
1.0,79.38,0
1.0,58.06,0
1.0,61.24,0
3.0,74.84,1
2.0,71.22,1
1.0,60.33,0
1.0,61.24,0
1.0,48.99,0
1.0,56.25,0
1.0,59.42,0
3.0,68.95,1
1.0,55.79,0
1.0,52.16,0
1.0,60.33,0
2.0,68.49,1
3.0,45.36,1
2.0,56.7,1
2.0,63.5,1
1.0,53.52,0
3.0,69.85,1
2.0,47.63,1
2.0,63.5,1
1.0,63.96,0
1.0,72.58,0
1.0,85.28,0
1.0,60.33,0
3.0,97.52,1
1.0,49.9,0
1.0,56.7,0
3.0,56.7,1
2.0,52.16,1
1.0,56.25,0
4.0,68.04,1
1.0,60.33,0
3.0,62.6,1
4.0,54.43,1
4.0,57.15,1
5.0,113.4,1
1.0,88.91,0
3.0,81.65,1
2.0,75.75,1
2.0,81.65,1
1.0,92.08,0
1.0,70.31,0
1.0,77.11,0
1.0,49.9,0
2.0,49.9,1
1.0,54.43,0
3.0,51.26,1
2.0,68.04,1
1.0,48.54,0
1.0,46.72,0
1.0,52.16,0
3.0,54.43,1
2.0,54.43,1
1.0,48.99,0
1.0,90.72,0
1.0,54.43,0
1.0,69.85,0
2.0,56.7,1
2.0,63.96,1
2.0,56.7,1
1.0,63.5,0
1.0,62.6,0
1.0,47.63,0
1.0,75.75,0
1.0,72.58,0
2.0,63.5,1
4.0,102.06,1
1.0,49.9,0
1.0,74.84,0
1.0,66.68,0
2.0,58.06,1
1.0,52.16,0
1.0,92.08,0
2.0,67.13,1
1.0,39.46,0
4.0,53.98,1
1.0,71.22,0
2.0,76.2,1
3.0,133.81,1
1.0,49.9,0
7.0,83.92,1
2.0,60.33,1
2.0,71.22,1
1.0,147.42,0
4.0,61.24,1
1.0,124.74,0
2.0,61.24,1
1.0,61.24,0
5.0,70.31,1
4.0,57.15,1
1.0,69.85,0
1.0,71.22,0
2.0,65.77,1
1.0,89.36,0
2.0,85.73,1
1.0,83.01,0
2.0,70.31,1
1.0,88.0,0
7.0,72.58,1
2.0,79.38,1
3.0,61.24,1
1.0,65.77,0
1.0,65.77,0
1.0,63.5,0
4.0,66.23,1
7.0,69.85,1
1.0,88.45,0
2.0,90.72,1
2.0,69.85,1
4.0,95.26,1
1.0,53.98,0
2.0,65.77,1
2.0,45.36,1
1.0,88.45,0
3.0,65.77,1
1.0,69.4,0
3.0,90.72,1
2.0,75.3,1
2.0,63.05,1
1.0,103.42,0
1.0,63.96,0
1.0,70.31,0
1.0,45.36,0
1.0,63.5,0
1.0,58.97,0
1.0,81.65,0
1.0,81.65,0
1.0,119.3,0
1.0,56.7,0
1.0,58.97,0
1.0,60.33,0
1.0,63.5,0
1.0,52.62,0
1.0,52.16,0
1.0,83.92,0
2.0,75.3,1
3.0,63.96,1
1.0,56.25,0
1.0,57.15,0
1.0,61.69,0
2.0,69.85,1
1.0,60.33,0
1.0,59.88,0
2.0,54.43,1
1.0,71.67,0
2.0,44.45,1
1.0,58.97,0
1.0,86.18,0
1.0,58.97,0
1.0,65.77,0
1.0,86.18,0
1.0,77.11,0
1.0,63.96,0
2.0,54.43,1
3.0,104.33,1
1.0,70.31,0
2.0,45.81,1
1.0,105.24,0
1.0,82.1,0
4.0,70.31,1
1.0,63.5,0
1.0,102.97,0
1.0,54.43,0
7.0,77.57,1
1.0,70.31,0
